employeeID,department,name,type
1,2,Jose L,0
2,1,Madelyn Pearson,1
3,2,John Ronald Reagan Tolkien,0
4,2,Jose L,0
5,1,Madelyn Pearson,1
6,2,John Ronald Reagan Tolkien,0
7,2,Jose L,0
8,1,Madelyn Pearson,1
9,2,John Ronald Reagan Tolkien,0
10,2,Jose L,0
11,1,Madelyn Pearson,1
12,2,John Ronald Reagan Tolkien,0
13,2,Jose L,0
14,1,Madelyn Pearson,1
15,2,John Ronald Reagan Tolkien,0
16,2,Jose L,0
17,1,Madelyn Pearson,1
18,2,John Ronald Reagan Tolkien,0
19,2,Jose L,0
20,1,Madelyn Pearson,1
21,2,John Ronald Reagan Tolkien,0
22,2,Jose L,0
23,1,Madelyn Pearson,1
24,2,John Ronald Reagan Tolkien,0
25,2,Jose L,0
26,1,Madelyn Pearson,1
27,2,John Ronald Reagan Tolkien,0
28,2,Jose L,0
29,1,Madelyn Pearson,1
30,2,John Ronald Reagan Tolkien,0
31,2,Jose L,0
32,1,Madelyn Pearson,1
33,2,John Ronald Reagan Tolkien,0
34,2,Jose L,0
35,1,Madelyn Pearson,1
36,2,John Ronald Reagan Tolkien,0
37,2,Jose L,0
38,1,Madelyn Pearson,1
39,2,John Ronald Reagan Tolkien,0
40,2,Jose L,0
41,1,Madelyn Pearson,1
42,2,John Ronald Reagan Tolkien,0
